"Team Number","Match Number","Name","Auto Move","Auto Coral Lvl 1","Auto Coral Lvl 2","Auto Coral Lvl 3","Auto Coral Lvl 4","Auto Algae Removed","Auto Algae Processed","Auto Algae Net","Teleop","Teleop Coral Lvl 1","Teleop Coral Lvl 2","Teleop Coral Lvl 3","Teleop Coral Lvl 4","Teleop Algae Removed","Teleop Algae Processed","Teleop Algae Net","End game","Parking","Did Move Game Elements","Match Comment"
"4207","9","""""","true","0","0","0","0","0","0","0","""""","1","0","0","3","0","0","0","""""","""Deep""","","In auto was fast but not lined up.right"
"4531","4","""Andrew K""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","1","0","""""","""Deep""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Alge""","Removed and scored algae with floor pickup"
"4728","4","""Cohen Susler""","true","0","0","0","1","0","0","0","""""","0","7","5","2","0","0","0","""""","""Deep""","""Did Move Coral"", ""Did Score Coral"""
"5148","9","""Cesar Jimenez""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Docked""","","Problems with the elevator, could not drop a coral"
"5826","2","""Cohen Susler""","true","0","1","1","2","0","0","0","""""","0","1","1","2","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral""","Get an algae stuck in their elevator"
"5826","8","""Andrew K""","true","0","0","0","0","0","0","0","""""","1","0","0","4","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral""","Coral got stuck, had trouble lining up and scoring L4 coral"
"5903","4","""Cam""","true","2","0","0","0","0","0","0","""""","0","0","0","3","0","0","0","""""","""Deep""","""Did Move Coral"", ""Did Score Coral"""
"5903","9","""Andrew K""","true","1","0","0","0","0","0","0","""""","1","0","1","3","0","0","0","""""","""Deep""","""Did Move Coral"", ""Did Score Coral""","Good feeder intake, slow at lining up"
"5914","1","""Cesar Jimenez""","false","0","0","0","0","0","0","0","""""","0","0","0","0","1","4","0","""""","""Failed""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"""
"5914","10","""Kiersten""","true","0","0","0","0","0","0","0","""""","1","0","0","0","0","0","0","""""","""Failed""","","Tipped.over mid match. Before tipping it struggled to remove alge"
